geneid,node1,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
23468,CBX5,SIRT1,9606.ENSP00000209875,9606.ENSP00000212015,0.102,0.0,0.633,0.656
1725,DHPS,MAPK1,9606.ENSP00000210060,9606.ENSP00000215832,0.601,0.0,0.083,0.62
5711,PSMD5,PSMD8,9606.ENSP00000210313,9606.ENSP00000215071,0.994,0.72,0.67,0.999
5603,MAPK13,MAPK1,9606.ENSP00000211287,9606.ENSP00000215832,0.0,0.9,0.083,0.907
28978,TMEM14A,USP18,9606.ENSP00000211314,9606.ENSP00000215794,0.456,0.0,0.0,0.456
7414,VCL,MAPK1,9606.ENSP00000211998,9606.ENSP00000215832,0.074,0.5,0.557,0.786
5714,PSMD8,SNRPD3,9606.ENSP00000215071,9606.ENSP00000215829,0.0,0.0,0.127,0.48
513,ATP5F1D,NDUFB7,9606.ENSP00000215375,9606.ENSP00000215565,0.127,0.0,0.501,0.97
4713,NDUFB7,TIMM13,9606.ENSP00000215565,9606.ENSP00000215570,0.0,0.0,0.466,0.628
9342,SNAP29,THAP7,9606.ENSP00000215730,9606.ENSP00000215742,0.0,0.0,0.588,0.606
10291,SF3A1,SNRPD3,9606.ENSP00000215793,9606.ENSP00000215829,0.921,0.9,0.377,0.995
3957,LGALS2,LGALS1,9606.ENSP00000215886,9606.ENSP00000215909,0.0,0.54,0.301,0.674
57168,ASPHD2,SRRD,9606.ENSP00000215906,9606.ENSP00000215917,0.0,0.0,0.636,0.636
150274,HSCB,NIPSNAP1,9606.ENSP00000216027,9606.ENSP00000216121,0.407,0.0,0.0,0.416
150274,HSCB,ACO2,9606.ENSP00000216027,9606.ENSP00000216254,0.292,0.5,0.445,0.787
56993,TOMM22,TXN2,9606.ENSP00000216034,9606.ENSP00000216185,0.237,0.0,0.063,0.51
56993,TOMM22,ACO2,9606.ENSP00000216034,9606.ENSP00000216254,0.0,0.4,0.259,0.58
7494,XBP1,RTCB,9606.ENSP00000216037,9606.ENSP00000216038,0.0,0.0,0.715,0.717
7494,XBP1,HMOX1,9606.ENSP00000216037,9606.ENSP00000216117,0.0,0.0,0.447,0.447
7494,XBP1,NFKBIA,9606.ENSP00000216037,9606.ENSP00000216797,0.0,0.0,0.379,0.434
51493,RTCB,PSMA3,9606.ENSP00000216038,9606.ENSP00000216455,0.0,0.0,0.0,0.407
25807,RHBDD3,FAM118A,9606.ENSP00000216085,9606.ENSP00000216214,0.088,0.0,0.479,0.508
10042,HMGXB4,HMOX1,9606.ENSP00000216106,9606.ENSP00000216117,0.0,0.0,0.425,0.521
10042,HMGXB4,MCM5,9606.ENSP00000216106,9606.ENSP00000216122,0.0,0.0,0.862,0.866
3162,HMOX1,MCM5,9606.ENSP00000216117,9606.ENSP00000216122,0.0,0.0,0.352,0.415
3162,HMOX1,TXN2,9606.ENSP00000216117,9606.ENSP00000216185,0.0,0.0,0.61,0.61
3162,HMOX1,RBX1,9606.ENSP00000216117,9606.ENSP00000216225,0.0,0.0,0.452,0.454
3162,HMOX1,PAPOLA,9606.ENSP00000216117,9606.ENSP00000216277,0.0,0.0,0.606,0.608
3162,HMOX1,NFKBIA,9606.ENSP00000216117,9606.ENSP00000216797,0.0,0.0,0.669,0.675
4174,MCM5,RBX1,9606.ENSP00000216122,9606.ENSP00000216225,0.8,0.0,0.203,0.836
4174,MCM5,SUPT16H,9606.ENSP00000216122,9606.ENSP00000216297,0.273,0.0,0.184,0.506
4174,MCM5,POLE2,9606.ENSP00000216122,9606.ENSP00000216367,0.987,0.5,0.579,0.998
4174,MCM5,CINP,9606.ENSP00000216122,9606.ENSP00000216756,0.133,0.0,0.512,0.559
4174,MCM5,AURKA,9606.ENSP00000216122,9606.ENSP00000216911,0.0,0.0,0.393,0.603
4174,MCM5,MYBL2,9606.ENSP00000216122,9606.ENSP00000217026,0.0,0.0,0.281,0.579
23492,CBX7,L3MBTL2,9606.ENSP00000216133,9606.ENSP00000216237,0.116,0.0,0.368,0.427
164633,CABP7,PVALB,9606.ENSP00000216144,9606.ENSP00000216200,0.0,0.0,0.391,0.405
10454,TAB1,NFKBIA,9606.ENSP00000216160,9606.ENSP00000216797,0.091,0.5,0.591,0.801
4627,MYH9,IL2RB,9606.ENSP00000216181,9606.ENSP00000216223,0.0,0.0,0.431,0.443
4627,MYH9,PMM1,9606.ENSP00000216181,9606.ENSP00000216259,0.0,0.0,0.423,0.425
25828,TXN2,RBX1,9606.ENSP00000216185,9606.ENSP00000216225,0.0,0.0,0.379,0.407
25828,TXN2,ACO2,9606.ENSP00000216185,9606.ENSP00000216254,0.0,0.116,0.352,0.594
25828,TXN2,APEX1,9606.ENSP00000216185,9606.ENSP00000216714,0.0,0.0,0.37,0.427
8664,EIF3D,EIF5,9606.ENSP00000216190,9606.ENSP00000216554,0.652,0.9,0.929,0.997
